OrderNum	EmpID 	Employee Name	Employee Job Title	Sales Region	OrderDate	OrderType	CustomerType	Customer ID	CustName	CustState	ProdCategory	ProdNumber	ProdName	Quantity	 Price 	Discount	 Order Total 
1105195	900019019	Tiffany Cooper	Senior Sales Associate	S Central East	1/1/2021	Retail	Individual	2206	Abey Jacquemard	Texas	Mineral water	MW272	Mineral Water - Cranberry - 32oz - case	2	$20.99 	0%	$41.98 
1105196	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/1/2021	Retail	Individual	2613	Lynnelle Beckensall	Pennsylvania	Mineral water	MW262	Mineral Water - Strawberry - 32oz - case	3	$20.99 	0%	$62.97 
1105197	900017953	Carrie Jordan	Sales Associate I	S Central West	1/1/2021	Retail	Individual	1114	Alphonso Grzelewski	Arizona	Supplements	SP607	Vitamin B-complex - 200 capsules	1	$24.10 	0%	$24.10 
1105198	900018712	Dru Clingman	Sales Associate II	S Central East	1/1/2021	Retail	Individual	3879	Agata Scawton	Texas	Supplements	SP202	Iron 65 mg - 80 capsules	3	$4.75 	0%	$14.25 
1105199	900016111	Edward Loveless	Sales Associate I	N Central West	1/1/2021	Retail	Individual	4126	Beulah Lorey	North Dakota	Supplements	SP202	Iron 65 mg - 80 capsules	2	$4.75 	0%	$9.50 
1105200	900011701	Susan Dixon	Sales Representative	Southeast	1/1/2021	Retail	Individual	3629	Dionisio Van Giffen	Florida	Supplements	SP203	Vitamin B-complex - 160 capsules	1	$19.52 	0%	$19.52 
1105201	900016320	Paul Turner	Sales Associate II	S Central East	1/1/2021	Retail	Individual	1245	Maryjo Jacobs	Oklahoma	Fitness	FT357	Kettlebell - 25 lb	1	$69.99 	0%	$69.99 
1105202	900014621	Shantel Francis	Sales Associate II	Northeast	1/1/2021	Retail	Individual	1430	Kailey Lapthorne	Pennsylvania	Fitness	FT280	Slam ball - 5 lb	1	$43.95 	0%	$43.95 
1105203	900015105	Sharla Campbell	Sales Representative	Northeast	1/1/2021	Retail	Individual	1193	Fairfax Manifould	Massachusetts	Mineral water	MW202	Mineral Water - Natural -  32oz - case	1	$16.99 	0%	$16.99 
1105204	900015105	Sharla Campbell	Sales Representative	Northeast	1/1/2021	Retail	Individual	3927	Adel Duberry	New Jersey	Mineral water	MW222	Mineral Water - Lemon - 32oz - case	3	$20.99 	0%	$62.97 
1105205	900018213	Tony Hendricks	Senior Sales Representative	Central East	1/1/2021	Retail	Individual	3665	Bliss Cordoba	District of Columbia	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	1	$14.60 	0%	$14.60 
1105206	900016111	Edward Loveless	Sales Associate I	N Central West	1/1/2021	Retail	Individual	3084	Bernardine McCarthy	North Dakota	Fitness	FT609	Yoga ball - 55cm	1	$20.79 	0%	$20.79 
1105207	900015499	Lauren Skip	Senior Sales Associate	N Central East	1/1/2021	Retail	Individual	3617	Ned Valentinuzzi	Ohio	Mineral water	MW122	Mineral Water - Blueberry - 32oz - case	1	$20.99 	0%	$20.99 
1105208	900014055	Daniel Phillips	Sales Associate II	Central East	1/2/2021	Retail	Business	3178	Waelchi Group	West Virginia	Supplements	SP202	Iron 65 mg - 80 capsules	353	$4.75 	0%	"$1,676.75 "
1105209	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/2/2021	Retail	Individual	1486	Mikol Yitzhak	Pennsylvania	Mineral water	MW122	Mineral Water - Blueberry - 32oz - case	6	$20.99 	0%	$125.94 
1105210	900016439	Alyssa Jackson	Sales Associate IV	Northeast	1/2/2021	Retail	Individual	2386	Randy Devo	Connecticut	Supplements	SP126	Vitamin C-1000 mg - 140 tablets	2	$14.60 	0%	$29.20 
1105211	900012746	Becky Allen	Senior Sales Representative	N Central East	1/2/2021	Retail	Individual	1539	Hillier Endrizzi	Ohio	Supplements	SP120	Multivitamin - 180 capsules	2	$27.50 	0%	$55.00 
1105212	900012995	Brenda Johnson	Senior Sales Representative	Central East	1/2/2021	Retail	Individual	1212	Ermentrude Hegley	Kentucky	Supplements	SP304	Flaxseed Oil 1000mg - 90 capsules	1	$12.49 	0%	$12.49 
1105213	900012203	Christen Barrett	Sales Associate I	S Central East	1/2/2021	Retail	Individual	2379	Jess Heindrick	Texas	Fitness	FT871	Battle rope - 2 inch	1	$120.25 	0%	$120.25 
1105214	900010428	Cory Hall	Sales Representative	N Central East	1/2/2021	Retail	Individual	2587	Renato Tuxwell	Illinois	Fitness	FT139	Slam ball - 25 lb	1	$55.95 	0%	$55.95 
1105215	900010836	Constantine Acosta	Senior Sales Representative	Northwest	1/2/2021	Retail	Individual	3661	Raff Fulk	Idaho	Fitness	FT853	Yoga mat - 6mm	1	$29.99 	0%	$29.99 
1105216	900012320	Mary Hamilton	Sales Associate	S Central West	1/2/2021	Retail	Individual	3042	Nadeen Favela	Arizona	Mineral water	MW122	Mineral Water - Lemon -  20oz - case	2	$14.99 	0%	$29.98 
1105217	900018712	Dru Clingman	Sales Associate II	S Central East	1/2/2021	Retail	Individual	2413	Westbrooke Conybear	Texas	Supplements	SP305	Magnesium 250 mg - 160 tablets	1	$32.65 	0%	$32.65 
1105218	900017953	Carrie Jordan	Sales Associate I	S Central West	1/2/2021	Wholesale	Business	1161	Goldner Inc	Colorado	Mineral water	MW252	Mineral Water - Raspberry - 32oz - case	84	$20.99 	5%	"$1,763.11 "
1105219	900012320	Mary Hamilton	Sales Associate	S Central West	1/3/2021	Retail	Business	4071	Langosh Inc	Colorado	Mineral water	MW262	Mineral Water - Strawberry - 32oz - case	282	$20.99 	0%	"$5,919.18 "
1105220	900018213	Tony Hendricks	Senior Sales Representative	Central East	1/3/2021	Retail	Individual	1116	Lucinda Dangerfield	Delaware	Supplements	SP202	Iron 65 mg - 80 capsules	2	$4.75 	0%	$9.50 
