EmployeeID,Name,Title,Country,Email
1,"Dahlia Landon, MBA",President and CEO,United Kingdom,dlandon@landonhotel.com
2,"Mark Tristener, MBA",Executive Vice-President and CFO,United Kingdom,mtristener@landonhotel.com
3,"Jennifer Veladoner, MS","President and Managing Director, Europe",United Kingdom,jveladoner@landonhotel.com
4,Jonathan Perfington,"President and Managing Director, North America",United States,jperfington@landonhotel.com
5,"Cecilia Forteau, MMH","President and Managing Director, Latin America",Ecuador,cforteau@landonhotel.com
6,Chong Nuan,"President and Managing Director, Asia and Africa",India,cnuan@landonhotel.com
7,"Harold Wandaleere, JD",Executive Vice-President and General Counsel,United Kingdom,hwandaleere@landonhotel.com
8,"Phyllis Lucero, MMH","Director of Hospitality, Europe",United Kingdom,pdevonaire@landonhotel.com
9,Tammy Marley-Cox,"Director of Hospitality, North America",United States,tmarleycox@landonhotel.com
10,"Victor Embargello, MMH","Director of Hospitality, Latin America",Ecuador,vembargello@landonhotel.com
11,Safeek Dulnar,"Director of Hospitality, Asia and Africa",India,sdulnar@landonhotel.com
12,Jennifer Dawson,Senior Event Coordinator,United States,jdawson@landonhotel.com
